35.86607485,31.97610853
35.86607574,31.97613756
35.86607485,31.97610845
35.86607633,31.97613731
35.86607483,31.97610837
35.86607486,31.97610846
35.86607548,31.97613767
35.86607486,31.97610846
35.86607548,31.97613767
35.86607483,31.97610837
35.86607484,31.97610845
35.86607513,31.97613782
35.86607486,31.97610851
35.86607513,31.97613782
35.86607484,31.9761085
35.86607487,31.97610861
35.86607558,31.97613762
35.86607487,31.97610853
35.86607484,31.97610852
35.86607658,31.9761372
35.86607487,31.97610876
35.86607554,31.97613764
35.86607487,31.97610857
35.86607718,31.97613695
35.86607485,31.97610842
35.86607486,31.97610856
